Id,Relation
6639,Contingency
6640,Contingency
6641,Contingency
6642,Temporal
6643,Comparison
6644,Expansion
6645,Contingency
6646,Expansion
6647,Expansion
6648,Temporal
6649,Contingency
6650,Temporal
6651,Contingency
6652,Expansion
6653,Expansion
6654,Contingency
6655,Expansion
6656,Expansion
6657,Contingency
6658,Expansion
6659,Contingency
6660,Contingency
6661,Expansion
6662,Expansion
6663,Contingency
6664,Expansion
6665,Expansion
6666,Contingency
6667,Contingency
6668,Expansion
6669,Expansion
6670,Contingency
6671,Contingency
6672,Temporal
6673,Contingency
6674,Contingency
6675,Contingency
6676,Expansion
6677,Contingency
6678,Expansion
6679,Contingency
6680,Expansion
6681,Contingency
6682,Temporal
6683,Contingency
6684,Expansion
6685,Contingency
6686,Contingency
6687,Contingency
6688,Contingency
6689,Expansion
6690,Expansion
6691,Expansion
6692,Comparison
6693,Contingency
6694,Contingency
6695,Contingency
6696,Contingency
6697,Contingency
6698,Comparison
6699,Expansion
6700,Contingency
6701,Comparison
6702,Contingency
6703,Contingency
6704,Temporal
6705,Contingency
6706,Comparison
6707,Temporal
6708,Contingency
6709,Temporal
6710,Contingency
6711,Temporal
6712,Comparison
6713,Contingency
6714,Temporal
6715,Expansion
6716,Contingency
6717,Comparison
6718,Contingency
6719,Temporal
6720,Contingency
6721,Contingency
6722,Temporal
6723,Temporal
6724,Expansion
6725,Contingency
6726,Contingency
6727,Contingency
6728,Contingency
6729,Contingency
6730,Expansion
6731,Contingency
6732,Contingency
6733,Temporal
6734,Expansion
6735,Contingency
6736,Contingency
6737,Contingency
6738,Comparison
6739,Temporal
6740,Contingency
6741,Contingency
6742,Contingency
6743,Contingency
6744,Temporal
6745,Expansion
6746,Temporal
6747,Contingency
6748,Temporal
6749,Temporal
6750,Contingency
6751,Contingency
6752,Expansion
6753,Temporal
6754,Contingency
6755,Temporal
6756,Contingency
6757,Comparison
6758,Contingency
6759,Temporal
6760,Contingency
6761,Contingency
6762,Contingency
6763,Contingency
6764,Expansion
6765,Contingency
6766,Expansion
6767,Expansion
6768,Expansion
6769,Contingency
6770,Comparison
6771,Comparison
6772,Contingency
6773,Expansion
6774,Expansion
6775,Expansion
6776,Expansion
6777,Expansion
6778,Temporal
6779,Contingency
6780,Contingency
6781,Comparison
6782,Temporal
6783,Expansion
6784,Contingency
6785,Temporal
6786,Contingency
6787,Contingency
6788,Expansion
6789,Contingency
6790,Contingency
6791,Contingency
6792,Contingency
6793,Temporal
6794,Contingency
6795,Contingency
6796,Contingency
6797,Contingency
6798,Expansion
6799,Expansion
6800,Expansion
6801,Expansion
6802,Contingency
6803,Contingency
6804,Contingency
6805,Contingency
6806,Expansion
6807,Comparison
6808,Contingency
6809,Temporal
6810,Comparison
6811,Contingency
6812,Temporal
6813,Contingency
6814,Contingency
6815,Expansion
6816,Contingency
6817,Expansion
6818,Expansion
6819,Expansion
6820,Contingency
6821,Contingency
6822,Contingency
6823,Temporal
6824,Expansion
6825,Expansion
6826,Expansion
6827,Contingency
6828,Expansion
6829,Temporal
6830,Contingency
6831,Contingency
6832,Comparison
6833,Expansion
6834,Contingency
6835,Contingency
6836,Contingency
6837,Expansion
6838,Expansion
6839,Expansion
6840,Contingency
6841,Comparison
6842,Comparison
6843,Contingency
6844,Contingency
6845,Expansion
6846,Temporal
6847,Contingency
6848,Contingency
6849,Contingency
6850,Contingency
6851,Expansion
6852,Contingency
6853,Comparison
6854,Expansion
6855,Expansion
6856,Contingency
6857,Expansion
6858,Comparison
6859,Expansion
6860,Contingency
6861,Comparison
6862,Expansion
6863,Temporal
6864,Contingency
6865,Comparison
6866,Contingency
6867,Temporal
6868,Expansion
6869,Expansion
6870,Contingency
6871,Comparison
6872,Expansion
6873,Temporal
6874,Contingency
6875,Contingency
6876,Contingency
6877,Comparison
6878,Contingency
6879,Expansion
6880,Expansion
6881,Contingency
6882,Contingency
6883,Contingency
6884,Contingency
6885,Contingency
6886,Temporal
6887,Contingency
6888,Expansion
6889,Comparison
6890,Expansion
6891,Temporal
6892,Expansion
6893,Comparison
6894,Expansion
6895,Temporal
6896,Expansion
6897,Contingency
6898,Comparison
6899,Contingency
6900,Comparison
6901,Expansion
6902,Comparison
6903,Comparison
6904,Temporal
6905,Temporal
6906,Temporal
6907,Comparison
6908,Contingency
6909,Temporal
6910,Contingency
6911,Expansion
6912,Contingency
6913,Expansion
6914,Comparison
6915,Expansion
6916,Contingency
6917,Expansion
6918,Expansion
6919,Contingency
6920,Temporal
6921,Expansion
6922,Comparison
6923,Contingency
6924,Contingency
6925,Contingency
6926,Temporal
6927,Contingency
6928,Comparison
6929,Contingency
6930,Comparison
6931,Expansion
6932,Contingency
6933,Comparison
6934,Contingency
6935,Contingency
6936,Expansion
6937,Expansion
6938,Expansion
6939,Comparison
6940,Contingency
6941,Contingency
6942,Comparison
6943,Contingency
6944,Contingency
6945,Temporal
6946,Comparison
6947,Comparison
6948,Expansion
6949,Temporal
6950,Expansion
6951,Expansion
6952,Temporal
6953,Contingency
6954,Expansion
6955,Expansion
6956,Contingency
6957,Contingency
6958,Expansion
6959,Expansion
6960,Expansion
6961,Contingency
6962,Comparison
6963,Contingency
6964,Expansion
6965,Contingency
6966,Contingency
6967,Contingency
6968,Expansion
6969,Expansion
6970,Expansion
6971,Contingency
6972,Contingency
6973,Contingency
6974,Expansion
6975,Contingency
6976,Contingency
6977,Comparison
6978,Comparison
6979,Temporal
6980,Expansion
6981,Contingency
6982,Expansion
6983,Comparison
6984,Expansion
6985,Temporal
6986,Contingency
6987,Contingency
6988,Contingency
6989,Contingency
6990,Contingency
6991,Expansion
6992,Contingency
6993,Contingency
6994,Expansion
6995,Expansion
6996,Expansion
6997,Contingency
6998,Temporal
6999,Expansion
7000,Expansion
7001,Temporal
7002,Expansion
7003,Expansion
7004,Comparison
7005,Expansion
7006,Contingency
7007,Expansion
7008,Contingency
7009,Expansion
7010,Temporal
7011,Temporal
7012,Expansion
7013,Contingency
7014,Contingency
7015,Comparison
7016,Contingency
7017,Expansion
7018,Expansion
7019,Contingency
7020,Expansion
7021,Temporal
7022,Contingency
7023,Contingency
7024,Expansion
7025,Temporal
7026,Expansion
7027,Expansion
7028,Temporal
7029,Contingency
7030,Contingency
7031,Contingency
7032,Contingency
7033,Comparison
7034,Contingency
7035,Expansion
7036,Expansion
7037,Expansion
7038,Contingency
7039,Expansion
7040,Contingency
7041,Comparison
7042,Contingency
7043,Expansion
7044,Comparison
7045,Expansion
7046,Comparison
7047,Expansion
7048,Temporal
7049,Temporal
7050,Temporal
7051,Expansion
7052,Contingency
7053,Comparison
7054,Expansion
7055,Comparison
7056,Expansion
7057,Expansion
7058,Contingency
7059,Temporal
7060,Expansion
7061,Contingency
7062,Comparison
7063,Contingency
7064,Expansion
7065,Expansion
7066,Temporal
7067,Contingency
7068,Contingency
7069,Comparison
7070,Expansion
7071,Comparison
7072,Contingency
7073,Contingency
7074,Contingency
7075,Contingency
7076,Contingency
7077,Comparison
7078,Comparison
7079,Temporal
7080,Contingency
7081,Contingency
7082,Expansion
7083,Expansion
7084,Contingency
7085,Expansion
7086,Expansion
7087,Temporal
7088,Contingency
7089,Contingency
7090,Expansion
7091,Contingency
7092,Temporal
7093,Contingency
7094,Contingency
7095,Contingency
7096,Expansion
7097,Expansion
7098,Contingency
7099,Contingency
7100,Expansion
7101,Contingency
7102,Contingency
7103,Expansion
7104,Comparison
7105,Temporal
7106,Expansion
7107,Contingency
7108,Temporal
7109,Expansion
7110,Contingency
7111,Contingency
7112,Temporal
7113,Contingency
7114,Temporal
7115,Expansion
7116,Contingency
7117,Comparison
7118,Contingency
7119,Contingency
7120,Contingency
7121,Contingency
7122,Contingency
7123,Contingency
7124,Expansion
7125,Contingency
7126,Temporal
7127,Comparison
7128,Contingency
7129,Expansion
7130,Expansion
7131,Contingency
7132,Expansion
7133,Comparison
7134,Contingency
7135,Contingency
7136,Contingency
7137,Temporal
7138,Temporal
7139,Contingency
7140,Contingency
7141,Expansion
7142,Contingency
7143,Temporal
7144,Contingency
7145,Contingency
7146,Expansion
7147,Comparison
